experimentID;param0;param1;param2;param3;param4;param5;param6;param7;param8;param9;param10;param11;param12;param13;param14;param15;param16;param17;param18;param19;param20;param21;param22;param23;param24;param25;param26;param27;param28;param29
2021-07-13091330-8;-18.842674573644103;-313.82955271466057;-95.51539901166728;153.7835398939137;244.1247112205043;-157.4793682794313;-182.83460226873882;84.85261665279154;47.2028309130435;276.58614476076275;-303.25533774040605;156.40705533876633;-57.98169516666462;-348.63399602208614;-214.90249169427148;93.34328355772152;49.84100672054194;199.4777080682452;-478.88432697316074;-137.37449878501968;-355.1588606253926;555.8851037805296;-205.95174081536322;596.3832953605095;501.6202932621409;470.9174427728119;213.29863017327125;-33.99519510501625;-426.37918626046974;-223.90965619869462
2021-07-13091330-9;-123.54383991518529;-246.27927422991405;-422.6894958963777;356.0756452836072;265.71365340141165;246.91702437563572;362.98617725587644;325.8206085368781;165.7783847143951;-243.353680396075;-391.09576065169153;-374.9634162811027;-248.95604550241768;-137.98725744761487;302.5299748269091;310.3380374735841;598.4091412667481;-148.240499262331;38.722477593684744;293.26559057860584;-150.63132971106324;-189.9246697951495;324.0506660399866;177.7972114825285;-396.14269560426237;104.5660829903278;-8.355084283120732;-15.90248004682553;-554.2635983107068;-104.18406157280845
2021-07-13091330-10;-368.57339048657184;-180.9323665537022;230.64769148009896;90.12419198900523;240.67752387388612;-248.1256355123533;-213.60983474790999;231.6448441117618;-73.83423660498624;-220.4511095759084;421.4576738296139;235.68824170238054;-496.3672351270437;55.56561990153352;560.1855221288529;146.48460785082386;-157.04898418675805;-38.49942046379442;-418.50015841647115;328.49147699101366;-347.8999033064381;63.70134865063403;32.48791927379398;197.74260565479813;179.0866725037057;52.301035635682524;281.2877384019639;148.12960730669977;384.1379845138674;-30.046340908008233
2021-07-13091330-11;-536.330706041196;30.846809728004132;278.3020770648783;-346.4702304225973;159.11161983294994;499.3369655674014;77.43539884672782;468.782685431941;-131.37304059807622;422.9260128834941;356.02878825040045;43.52415838838681;378.0726496908147;18.491800665266965;-265.492531727661;-296.5169523241198;123.53364238933113;204.50261586769432;437.3840759219263;-105.42067188123843;161.11628377793875;-81.59916836676678;-431.8329740752147;452.9013482331861;132.4690044076632;-125.8861561478439;158.90754733377491;398.62392923103016;175.38725562066372;-454.42635734818555
2021-07-13091330-12;83.40615939143277;-211.21087897276976;586.1183652298744;-318.9262158775591;22.309585429062736;-130.0598183145661;15.07006698364853;72.8896340711567;214.0167662591722;-146.5306073756052;-403.13055096298086;374.3016228395778;160.676341916796;-4.695638251223841;299.93318592893297;-230.61922220339454;-251.83449456660242;302.77245858759034;320.17559429239907;537.2081056572231;-343.6044907016447;-196.08194368732643;-128.8590973672832;-371.5218511376372;294.8848060471896;-243.14269729678938;-146.41208101115785;-98.3355831472536;-180.85413744606763;50.30804159857814
2021-07-13091330-13;-535.2602436643508;48.75801493296183;210.3837520062201;3.306024157134516;102.32306216758298;-542.3843048921638;-429.5422609223755;195.92678939786663;57.05667199489605;-463.31230008676965;-219.95549765592153;-4.292094546432537;-243.5183611798417;-105.84413756440824;-187.74947856384244;-378.70403214457133;446.60346041162825;162.3960916201289;-274.03408790184926;206.4942800479006;-62.327664804213555;387.4790831842546;291.84397297921544;86.46188209985417;328.39661990046477;77.7625595372391;-101.86442052895273;321.9448023536452;164.6240630973458;43.54268372989657
2021-07-13091330-14;-143.13348427401706;308.701593848976;-85.50118436129651;376.25951505775095;-22.72172193755614;-92.44857600120952;-478.63421489361747;371.6079820452592;-83.59529053967924;88.89569655670527;-513.6563223919909;-171.38949617047984;293.00342709474387;-136.41298721185768;-168.01914107472777;120.51417713842831;-192.55871838239153;381.75425014567315;-398.8557725555589;-198.01289804881424;-192.30737962213817;-456.339144229382;-8.622298041038334;-532.895555605065;144.73287585889787;59.09432178645227;81.39708751942067;593.1372533353504;-5.915466640667432;273.80137245258504
2021-07-13091330-15;-336.5745583757499;-49.28145236052285;277.85241131937505;83.23360539094188;-242.82873615192415;103.90661010052588;-302.29818113433555;-488.71061550271395;221.38874527304756;190.1146281705935;-88.8353333056462;-209.70644649715734;49.14958933370326;-102.55643084032357;28.595923165355657;33.45532373951096;-33.55183507705783;-339.8903327239421;-111.51526677884988;288.6142489653307;-548.0962287115542;589.3222074294747;314.1114706670253;-315.79384153945836;-346.6325703538672;372.0127403681852;-227.94593738993274;314.4728975195794;3.065840769010606;-192.81515279739773
2021-07-13091330-16;2.463703408094375;-266.4795677994258;-269.1830871558662;165.4749704938074;259.9313122432976;280.6243731526024;193.73095134313022;128.05870009267528;135.89694897890308;163.86808204920692;220.40950726007895;-93.11102185944884;-27.518736777388426;49.38509647545811;326.6808580477922;310.53825663666817;-258.1192672502408;-56.85157710058127;-346.74043810347075;257.0938261276532;-130.8826263327383;-512.5621607581415;223.6271729308868;-547.4580551817088;99.75124205355962;-332.8451209404614;345.0126830513742;64.53245595870612;66.23535269369381;597.6490869659058
2021-07-13091330-17;-312.6141701820345;34.969402061511005;189.04799545599656;-250.03921294786767;8.326100456926042;-314.11307801732795;-142.56426132572193;164.77958990764228;26.234643327687564;147.6235899841297;-411.1168307414408;-177.29398701182777;113.31959695497642;-240.24226273511812;-469.4441655745188;114.19467160113368;599.5999924180039;-261.1793519072307;16.922585921524274;-1.9796486723655562;13.760675791417952;-10.404557922523168;261.30158087714517;-82.17969617596975;415.9277217788757;-190.10357462345053;-74.13975445518429;496.0582631448169;593.2681127408691;-192.58064167590038
